sp,DBH_AVG,HEIGHT_AVG,DIAM_AVG
ingaco,114.4,14.03069976,2.452276786
ingafa,180.2,14.73828016,3.030071429
ingago,318.5,22.77614473,5.204419643
ingama,476.8,24.29833523,8.193854167
ingape,140.5,15.40397643,2.192738095
ingapu,128,12.83819332,2.947470238
ingaqu,170.5,15.15740883,3.350267857
ingaru,37,7.94,1.4675
ingas1,177.2857143,13.29642159,4.209444444
ingasa,259,20.65997991,4.752285714
ingasp,312,18.54056238,4.680625
ingath,214.8,17.28189129,6.273973214
ingaum,112.6666667,12.6675,3.17875
