index,plant species,plant sp,collection number,no. individuals,Family (from BOLD),genus (from BOLD),species (from BOLD),taxon MOTU,Herb_Order
238,multijuga,ingath,BCI-h789,5,Chrysomelidae,,,,Coleoptera
185,acuminata,ingas1,BCI-h729,3,Curculionidae,,,,Coleoptera
127,multijuga,ingath,BCI-h659,3,Cecidomyiidae,,,,Diptera
263,punctata,ingapu,BCI-h820,2,Syrphidae,,,,Diptera
297,laurina,ingafa,BCI-h857,1,Coreidae,,hemip8,hemip8,Hemipteran
298,laurina,ingafa,BCI-h858,1,Coreidae,,hemip8,hemip8,Hemipteran
299,laurina,ingafa,BCI-h859,1,Coreidae,,hemip8,hemip8,Hemipteran
302,laurina,ingafa,BCI-h862,1,Coreidae,,hemip8,hemip8,Hemipteran
303,laurina,ingafa,BCI-h863,1,Coreidae,,hemip8,hemip8,Hemipteran
295,sapindoides,ingasa,BCI-h855,1,Coreidae,,hemip9,hemip9,Hemipteran
296,sapindoides,ingasa,BCI-h856,1,Coreidae,,hemip9,hemip9,Hemipteran
58,acuminata,ingas1,BCI-h574,1,Chalcidoidea,,,,Hymenoptera-Parasitoid
280,sapindoides,ingasa,BCI-h839,1,Chalcidoidea,,,,Hymenoptera-Parasitoid
231,cocleensis,ingaco,BCI-h781,42,Argidae,Ptenos,leucopoda,sawfly17,Hymenoptera-sawfly
198,goldmanii,ingago,BCI-h745,25,Argidae,Ptenos,leucopoda,sawfly17,Hymenoptera-sawfly
120,laurina,ingafa,BCI-h650,7,Argidae,,sawfly24,sawfly24,Hymenoptera-sawfly
174,umbellifera,ingaum,BCI-h715,7,Argidae,,sawfly8,sawfly8,Hymenoptera-sawfly
176,umbellifera,ingaum,BCI-h720,10,Argidae,,sawfly8,sawfly8,Hymenoptera-sawfly
178,umbellifera,ingaum,BCI-h722,47,Argidae,,sawfly8,sawfly8,Hymenoptera-sawfly
179,umbellifera,ingaum,BCI-h723,35,Argidae,,sawfly8,sawfly8,Hymenoptera-sawfly
190,umbellifera,ingaum,BCI-h737,68,Argidae,,sawfly8,sawfly8,Hymenoptera-sawfly
